shooter,number_of_shots,non_penalty_goals_scored,GAX,rGAX,tstat,sd.V1,ci_lower,ci_upper,shooter_name,shooter_position_type
4674,1,0,-0.0588093027472496,0.006304522299697662,0.057205500756773726,0.10604471466563915,-0.20154311844495507,0.2141521630443504,Axel Witsel,M
4677,3,1,0.6820261403918266,0.25487684532186944,1.4655932442191422,0.1737818574617289,-0.0857355953031192,0.5954892859468581,Jude Bellingham,M
4681,2,0,-0.11860575526952744,-0.02340217559082893,-0.1825674658725543,0.13074119225205513,-0.27965491240485696,0.2328505612231991,Giovanni Reyna,F
4695,1,0,-0.16649800539016724,-0.0014779416282438972,-0.01349812685664359,0.11330029538309246,-0.2235465205791051,0.22059063732261733,Nico Elvedi,D
4703,1,0,-0.09834667295217514,0.005362486512975564,0.06666469257104844,0.07924986492622617,-0.14996724874242773,0.16069222176837883,Denis Zakaria,M
4712,1,0,-0.05874146893620491,-0.01969869783887628,-0.20945122028000016,0.09589799863452077,-0.207658775162537,0.16826137948478442,Marcus Thuram,F
4713,1,0,-0.2570631802082062,-0.09981048082829434,-0.9935191225812382,0.10069322975811168,-0.29716921115419326,0.09754824949760456,Jonas Hofmann,F
4717,7,2,0.6703983321785927,0.13860901109032517,0.5201482107133097,0.26236663311844355,-0.37562958982182415,0.6528476120024745,Breel Embolo,F
4732,2,0,-0.16924410313367844,-0.012012534988032255,-0.08771153804044862,0.1465583973505183,-0.29926699379504806,0.2752419238189836,Djibril Sow,M
4734,2,0,-0.07566031813621521,-0.026816478254830228,-0.18853938355778568,0.1427768177866881,-0.3066590411167389,0.2530260846070784,Filip Kostic,M
4737,3,0,-0.3220701776444912,-0.05596572820987659,-0.33245811007743004,0.17074141327342165,-0.39061889822578305,0.27868744180602983,Jesper Lindström,F
4739,1,0,-0.05316692218184471,0.0028773335374149655,0.027984098115426934,0.10530855953953783,-0.20352744316007917,0.20928211023490909,Ajdin Hrustic,F
4758,2,0,-0.0856478326022625,0.01898531027084908,0.1296088539512644,0.13950810886883683,-0.2544505831120711,0.2924212036537693,Ellyes Skhiri,M
4795,1,0,-0.070320263504982,0.014799442484882854,0.14156967272151372,0.1039303897984826,-0.18890412152014305,0.21850300648990875,Woo-yeong Jeong,F
4851,1,0,-0.20334257185459137,0.001202643618039824,0.011194553600838876,0.10295495165669001,-0.2005890616290726,0.20299434886515225,Krzysztof Piatek,F
